timestamp,power.draw[W],memory.used[MiB],utilization.gpu[%],temperature.gpu[C]
2026/07/14 14:23:28.759, 16.39 W, 2 MiB, 0 %, 46
2026/07/14 14:23:29.763, 16.34 W, 92 MiB, 0 %, 46
2026/07/14 14:23:30.763, 16.05 W, 92 MiB, 0 %, 46
2026/07/14 14:23:31.764, 15.96 W, 92 MiB, 0 %, 46
2026/07/14 14:23:32.764, 15.97 W, 92 MiB, 0 %, 46
2026/07/14 14:23:33.765, 15.96 W, 92 MiB, 0 %, 46
2026/07/14 14:23:34.766, 15.94 W, 92 MiB, 0 %, 46
2026/07/14 14:23:35.766, 15.95 W, 92 MiB, 0 %, 46
2026/07/14 14:23:36.766, 16.25 W, 532 MiB, 27 %, 46
2026/07/14 14:23:37.767, 16.25 W, 532 MiB, 0 %, 46
2026/07/14 14:23:38.767, 16.01 W, 532 MiB, 0 %, 46
2026/07/14 14:23:39.768, 16.00 W, 532 MiB, 0 %, 46
2026/07/14 14:23:40.768, 16.00 W, 532 MiB, 0 %, 46
2026/07/14 14:23:41.769, 16.01 W, 532 MiB, 0 %, 46
2026/07/14 14:23:42.769, 16.01 W, 532 MiB, 0 %, 46
2026/07/14 14:23:43.770, 16.00 W, 532 MiB, 0 %, 46
2026/07/14 14:23:44.770, 16.01 W, 532 MiB, 0 %, 47
2026/07/14 14:23:45.771, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:46.771, 16.01 W, 532 MiB, 0 %, 47
2026/07/14 14:23:47.772, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:48.772, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:49.773, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:50.773, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:51.773, 16.01 W, 532 MiB, 0 %, 47
2026/07/14 14:23:52.774, 16.02 W, 532 MiB, 0 %, 47
2026/07/14 14:23:53.774, 12.55 W, 532 MiB, 0 %, 46
2026/07/14 14:23:54.774, 7.02 W, 532 MiB, 0 %, 45
2026/07/14 14:23:55.775, 4.92 W, 532 MiB, 0 %, 45
2026/07/14 14:23:56.775, 8.50 W, 1492 MiB, 0 %, 46
2026/07/14 14:23:57.776, 11.15 W, 1492 MiB, 0 %, 47
2026/07/14 14:23:58.776, 15.95 W, 1492 MiB, 0 %, 47
2026/07/14 14:23:59.777, 15.99 W, 1794 MiB, 0 %, 47
2026/07/14 14:24:00.777, 16.05 W, 1804 MiB, 0 %, 47
2026/07/14 14:24:01.777, 16.28 W, 1804 MiB, 0 %, 47
2026/07/14 14:24:02.778, 18.57 W, 540 MiB, 5 %, 47
